Author,Book,Year,Epoch,Genre_Primary,Genre_Secondary,Form,Remarks,source
Neil Gaiman,The Graveyard Book,2008,21st Century (2000+),Fantasy / Adventure,Mystery / Thriller,Novel,,sparknotes
John Green,Paper Towns,2008,21st Century (2000+),Coming-of-Age / Bildungsroman,Mystery / Thriller,Novel,,sparknotes
Suzanne Collins,Catching Fire,2009,21st Century (2000+),Science Fiction / Dystopia,,Novel,,sparknotes
James Dashner,The Maze Runner,2009,21st Century (2000+),Science Fiction / Dystopia,,Novel,,sparknotes
Jenny Han,The Summer I Turned Pretty,2009,21st Century (2000+),Romance / Domestic Fiction,Coming-of-Age / Bildungsroman,Novel,,sparknotes
Kathryn Stockett,The Help,2009,21st Century (2000+),Literary / Realist Fiction,,Novel,,sparknotes
Suzanne Collins,Mockingjay,2010,21st Century (2000+),Science Fiction / Dystopia,,Novel,,sparknotes
Sharon M Draper,Out of My Mind,2010,21st Century (2000+),Coming-of-Age / Bildungsroman,,Novel,,sparknotes
Jennifer Egan,A Visit from the Goon Squad,2010,21st Century (2000+),Literary / Realist Fiction,,Novel,,sparknotes
John Green,Will Grayson Will Grayson,2010,21st Century (2000+),Coming-of-Age / Bildungsroman,Romance / Domestic Fiction,Novel,,sparknotes
Ernest Cline,Ready Player One,2011,21st Century (2000+),Science Fiction / Dystopia,Fantasy / Adventure,Novel,,sparknotes
Marie Lu,Legend,2011,21st Century (2000+),Science Fiction / Dystopia,Romance / Domestic Fiction,Novel,,sparknotes
Erin Morgenstern,The Night Circus,2011,21st Century (2000+),Fantasy / Adventure,Romance / Domestic Fiction,Novel,,sparknotes
Veronica Roth,Divergent,2011,21st Century (2000+),Science Fiction / Dystopia,Romance / Domestic Fiction,Novel,,sparknotes
Leigh Bardugo,Shadow and Bone,2012,21st Century (2000+),Fantasy / Adventure,,Novel,,sparknotes
Kiera Cass,The Selection,2012,21st Century (2000+),Science Fiction / Dystopia,Romance / Domestic Fiction,Novel,Dystopian romance,sparknotes
Louise Erdrich,The Round House,2012,21st Century (2000+),Mystery / Thriller,Literary / Realist Fiction,Novel,,sparknotes
Gillian Flynn,Gone Girl,2012,21st Century (2000+),Mystery / Thriller,,Novel,,sparknotes
John Green,The Fault in Our Stars,2012,21st Century (2000+),Romance / Domestic Fiction,Coming-of-Age / Bildungsroman,Novel,,sparknotes
Bethan Roberts,My Policeman,2012,21st Century (2000+),Romance / Domestic Fiction,Literary / Realist Fiction,Novel,,sparknotes
Rainbow Rowell,Eleanor and Park,2012,21st Century (2000+),Romance / Domestic Fiction,Coming-of-Age / Bildungsroman,Novel,,sparknotes
Chimamanda Ngozi Adichie,Americanah,2013,21st Century (2000+),Literary / Realist Fiction,Romance / Domestic Fiction,Novel,,sparknotes
Leigh Bardugo,Siege and Storm,2013,21st Century (2000+),Fantasy / Adventure,,Novel,,sparknotes
Dave Eggers,The Circle,2013,21st Century (2000+),Science Fiction / Dystopia,,Novel,,sparknotes
Donna Tartt,The Goldfinch,2013,21st Century (2000+),Coming-of-Age / Bildungsroman,Mystery / Thriller,Novel,,sparknotes
Anthony Doerr,All the Light We Cannot See,2014,21st Century (2000+),Literary / Realist Fiction,,Novel,,sparknotes
E Lockhart,We Were Liars,2014,21st Century (2000+),Mystery / Thriller,Coming-of-Age / Bildungsroman,Novel,,sparknotes
Emily St John Mandel,Station Eleven,2014,21st Century (2000+),Science Fiction / Dystopia,,Novel,,sparknotes
Celeste Ng,Everything I Never Told You,2014,21st Century (2000+),Mystery / Thriller,,Novel,,sparknotes
Leigh Bardugo,Six of Crows,2015,21st Century (2000+),Fantasy / Adventure,Mystery / Thriller,Novel,,sparknotes
Camille DeAngelis,Bones and All,2015,21st Century (2000+),Coming-of-Age / Bildungsroman,Fantasy / Adventure,Novel,,sparknotes
Kristin Hannah,The Nightingale,2015,21st Century (2000+),Romance / Domestic Fiction,,Novel,,sparknotes
Harper Lee,Go Set a Watchman,2015,21st Century (2000+),Literary / Realist Fiction,,Novel,Companion to Mockingbird; not clearly coming-of-age,sparknotes
Sarah J Maas,A Court of Thorns and Roses,2015,21st Century (2000+),Fantasy / Adventure,Romance / Domestic Fiction,Novel,Romantic fantasy,sparknotes
Jennifer Niven,All the Bright Places,2015,21st Century (2000+),Coming-of-Age / Bildungsroman,Romance / Domestic Fiction,Novel,,sparknotes
Jason Reynolds,All American Boys,2015,21st Century (2000+),Coming-of-Age / Bildungsroman,,Novel,,sparknotes
Hanya Yanagihara,A Little Life,2015,21st Century (2000+),Literary / Realist Fiction,Tragedy / Drama,Novel,Intense literary drama,sparknotes
Nicola Yoon,Everything Everything,2015,21st Century (2000+),Coming-of-Age / Bildungsroman,Romance / Domestic Fiction,Novel,,sparknotes
Katherine Glasgow,Girl in Pieces,2016,21st Century (2000+),Coming-of-Age / Bildungsroman,,Novel,,sparknotes
Yaa Gyasi,Homegoing,2016,21st Century (2000+),Literary / Realist Fiction,,Novel,,sparknotes
Colleen Hoover,It Ends with Us,2016,21st Century (2000+),Romance / Domestic Fiction,,Novel,,sparknotes
Neal Shusterman,Scythe,2016,21st Century (2000+),Science Fiction / Dystopia,,Novel,,sparknotes
Amor Towles,A Gentleman in Moscow,2016,21st Century (2000+),Literary / Realist Fiction,Romance / Domestic Fiction,Novel,,sparknotes
Alan Gratz,Refugee,2017,21st Century (2000+),Literary / Realist Fiction,,Novel,,sparknotes
Mohsin Hamid,Exit West,2017,21st Century (2000+),Literary / Realist Fiction,Romance / Domestic Fiction,Novel,Magical Realism,sparknotes
Karen M McManus,One of Us Is Lying,2017,21st Century (2000+),Mystery / Thriller,Coming-of-Age / Bildungsroman,Novel,,sparknotes
Taylor Jenkins Reid,The Seven Husbands of Evelyn Hugo,2017,21st Century (2000+),Romance / Domestic Fiction,Literary / Realist Fiction,Novel,,sparknotes
Jason Reynolds,Long Way Down,2017,21st Century (2000+),Coming-of-Age / Bildungsroman,,Novel,,sparknotes
ML Rio,If We Were Villains,2017,21st Century (2000+),Mystery / Thriller,Literary / Realist Fiction,Novel,Dark academia mystery,sparknotes
Adam Silvera,They Both Die at the End,2017,21st Century (2000+),Coming-of-Age / Bildungsroman,Romance / Domestic Fiction,Novel,,sparknotes
Angie Thomas,The Hate U Give,2017,21st Century (2000+),Coming-of-Age / Bildungsroman,,Novel,,sparknotes
Jesmyn Ward,Sing Unburied Sing,2017,21st Century (2000+),Literary / Realist Fiction,Coming-of-Age / Bildungsroman,Novel,,sparknotes
Elizabeth Acevedo,The Poet X,2018,21st Century (2000+),Coming-of-Age / Bildungsroman,,Novel,,sparknotes
Colleen Hoover,Verity,2018,21st Century (2000+),Mystery / Thriller,Romance / Domestic Fiction,Novel,,sparknotes
Adib Khorram,Darius the Great Is Not Okay,2018,21st Century (2000+),Coming-of-Age / Bildungsroman,,Novel,,sparknotes
Rachael Lippincott,Five Feet Apart,2018,21st Century (2000+),Coming-of-Age / Bildungsroman,Romance / Domestic Fiction,Novel,,sparknotes
Carola Lovering,Tell Me Lies,2018,21st Century (2000+),Mystery / Thriller,Romance / Domestic Fiction,Novel,,sparknotes
Tahereh Mafi,A Very Large Expanse of Sea,2018,21st Century (2000+),Coming-of-Age / Bildungsroman,Romance / Domestic Fiction,Novel,,sparknotes
Madeline Miller,Circe,2018,21st Century (2000+),Fantasy / Adventure,Literary / Realist Fiction,Play,Mythological fantasy retelling,sparknotes
Tommy Orange,There There,2018,21st Century (2000+),Literary / Realist Fiction,,Novel,,sparknotes
Delia Owens,Where the Crawdads Sing,2018,21st Century (2000+),Mystery / Thriller,Coming-of-Age / Bildungsroman,Novel,,sparknotes
Sally Rooney,Normal People,2018,21st Century (2000+),Coming-of-Age / Bildungsroman,Romance / Domestic Fiction,Novel,,sparknotes
Karin Slaughter,Pieces of Her,2018,21st Century (2000+),Mystery / Thriller,,Novel,,sparknotes
Margaret Atwood,The Testaments,2019,21st Century (2000+),Science Fiction / Dystopia,,Novel,,sparknotes
Casey McQuiston,Red White and Royal Blue,2019,21st Century (2000+),Romance / Domestic Fiction,,Novel,,sparknotes
Alex Michaelides,The Silent Patient,2019,21st Century (2000+),Mystery / Thriller,,Novel,,sparknotes
Alice Oseman,Heartstopper Volume 1,2019,21st Century (2000+),Romance / Domestic Fiction,,Other,Graphic novel; Form=Other,sparknotes
Taylor Jenkins Reid,Daisy Jones and the Six,2019,21st Century (2000+),Romance / Domestic Fiction,Literary / Realist Fiction,Novel,,sparknotes
Angie Thomas,On The Come Up,2019,21st Century (2000+),Coming-of-Age / Bildungsroman,,Novel,,sparknotes
Colson Whitehead,The Nickel Boys,2019,21st Century (2000+),Literary / Realist Fiction,Coming-of-Age / Bildungsroman,Novel,,sparknotes
Rumaan Alam,Leave the World Behind,2020,21st Century (2000+),Mystery / Thriller,Literary / Realist Fiction,Novel,,sparknotes
Brit Bennett,The Vanishing Half,2020,21st Century (2000+),Literary / Realist Fiction,Coming-of-Age / Bildungsroman,Novel,,sparknotes
Suzanne Collins,The Ballad of Songbirds and Snakes,2020,21st Century (2000+),Science Fiction / Dystopia,,Novel,,sparknotes
Matt Haig,The Midnight Library,2020,21st Century (2000+),Fantasy / Adventure,Literary / Realist Fiction,Novel,Magical Realism/Fantasy,sparknotes
Naomi Novik,A Deadly Education A Novel,2020,21st Century (2000+),Fantasy / Adventure,Coming-of-Age / Bildungsroman,Novel,,sparknotes
Laura Dave,The Last Thing He Told Me,2021,21st Century (2000+),Mystery / Thriller,,Novel,,sparknotes
Angie Thomas,Concrete Rose,2021,21st Century (2000+),Coming-of-Age / Bildungsroman,,Novel,,sparknotes
Lucy Foley,The Paris Apartment,2022,21st Century (2000+),Mystery / Thriller,,Novel,,sparknotes
Bonnie Garmus,Lessons in Chemistry,2022,21st Century (2000+),Literary / Realist Fiction,Comedy / Satire,Novel,,sparknotes
Colleen Hoover,It Starts With Us,2022,21st Century (2000+),Romance / Domestic Fiction,,Novel,,sparknotes
Frieda McFadden,The Housemaid,2022,21st Century (2000+),Mystery / Thriller,,Novel,,sparknotes
Ann Patchett,Tom Lake,2023,21st Century (2000+),Literary / Realist Fiction,Romance / Domestic Fiction,Novel,,sparknotes
Rebecca Yarros,Fourth Wing,2023,21st Century (2000+),Fantasy / Adventure,Romance / Domestic Fiction,Novel,Romantic fantasy,sparknotes
Ashley Elston,First Lie Wins,2024,21st Century (2000+),Mystery / Thriller,,Novel,,sparknotes
Lady Murasaki Shikibu,The Tale of Genji,1010 AD,Pre-Modern (pre-1600),Literary / Realist Fiction,Romance / Domestic Fiction,Novel,Antiquity Japanese; earliest novel,sparknotes
William Shakespeare,Henry 6 Part 1,1591,Pre-Modern (pre-1600),Tragedy / Drama,,Play,History play; folded into Tragedy/Drama per taxonomy,sparknotes
William Shakespeare,Henry 6 Part 2,1591,Pre-Modern (pre-1600),Tragedy / Drama,,Play,History play,sparknotes
William Shakespeare,Henry 6 Part 3,1591,Pre-Modern (pre-1600),Tragedy / Drama,,Play,History play,sparknotes
Thomas Kyd,The Spanish Tragedy,1592,Pre-Modern (pre-1600),Tragedy / Drama,,Play,,sparknotes
Christopher Marlowe,Doctor Faustus,1604,Early Modern (1600–1800),Tragedy / Drama,,Play,,sparknotes
William Shakespeare,Richard 3,1592,Pre-Modern (pre-1600),Tragedy / Drama,,Play,History/Tragedy hybrid,sparknotes
William Shakespeare,The Two Gentlemen of Verona,1593,Pre-Modern (pre-1600),Comedy / Satire,Romance / Domestic Fiction,Play,,sparknotes
William Shakespeare,Titus Andronicus,1593,Pre-Modern (pre-1600),Tragedy / Drama,,Play,,sparknotes
William Shakespeare,The Taming of the Shrew,1594,Pre-Modern (pre-1600),Comedy / Satire,,Play,,sparknotes
William Shakespeare,Richard 2,1595,Pre-Modern (pre-1600),Tragedy / Drama,,Play,History play,sparknotes
William Shakespeare,Henry 4 Part 1,1597,Pre-Modern (pre-1600),Tragedy / Drama,Comedy / Satire,Play,History play; Falstaff brings comedy,sparknotes
William Shakespeare,Romeo and Juliet,1597,Pre-Modern (pre-1600),Tragedy / Drama,Romance / Domestic Fiction,Play,,sparknotes
William Shakespeare,Loves Labours Lost,1598,Pre-Modern (pre-1600),Comedy / Satire,,Play,,sparknotes
William Shakespeare,The Merchant of Venice,1598,Pre-Modern (pre-1600),Comedy / Satire,Tragedy / Drama,Play,Problem play; anti-Semitism makes it tragicomic,sparknotes
William Shakespeare,Much Ado About Nothing,1599,Pre-Modern (pre-1600),Comedy / Satire,Romance / Domestic Fiction,Play,,sparknotes
William Shakespeare,Henry 4 Part 2,1599,Pre-Modern (pre-1600),Tragedy / Drama,Comedy / Satire,Play,History play,sparknotes
William Shakespeare,Henry 5,1599,Pre-Modern (pre-1600),Tragedy / Drama,,Play,History play,sparknotes
William Shakespeare,Julius Caesar,1599,Pre-Modern (pre-1600),Tragedy / Drama,,Play,,sparknotes
William Shakespeare,A Midsummer Nights Dream,1600,Early Modern (1600–1800),Comedy / Satire,Fantasy / Adventure,Play,,sparknotes
William Shakespeare,The Merry Wives of Windsor,1602,Early Modern (1600–1800),Comedy / Satire,,Play,,sparknotes
William Shakespeare,Othello,1603,Early Modern (1600–1800),Tragedy / Drama,,Play,,sparknotes
Ben Jonson,Volpone,1606,Early Modern (1600–1800),Comedy / Satire,Tragedy / Drama,Play,,sparknotes
William Shakespeare,Coriolanus,1608,Early Modern (1600–1800),Tragedy / Drama,,Play,,sparknotes
William Shakespeare,King Lear,1608,Early Modern (1600–1800),Tragedy / Drama,,Play,,sparknotes
William Shakespeare,Troilus and Cressida,1609,Early Modern (1600–1800),Tragedy / Drama,Comedy / Satire,Play,Problem play,sparknotes
William Shakespeare,Pericles,1609,Early Modern (1600–1800),Comedy / Satire,Romance / Domestic Fiction,Play,Late romance,sparknotes
William Shakespeare,The Tempest,1611,Early Modern (1600–1800),Comedy / Satire,Fantasy / Adventure,Play,Late romance; traditionally grouped w/ comedies,sparknotes
William Shakespeare,The Winters Tale,1611,Early Modern (1600–1800),Comedy / Satire,Tragedy / Drama,Play,Late romance; tragicomic,sparknotes
William Shakespeare,Measure For Measure,1623,Early Modern (1600–1800),Comedy / Satire,Tragedy / Drama,Play,Problem play; dark comedy,sparknotes
William Shakespeare,As You Like It,1623,Early Modern (1600–1800),Comedy / Satire,Romance / Domestic Fiction,Play,,sparknotes
William Shakespeare,Alls Well That Ends Well,1623,Early Modern (1600–1800),Comedy / Satire,Romance / Domestic Fiction,Play,Problem play,sparknotes
William Shakespeare,Henry 8,1623,Early Modern (1600–1800),Tragedy / Drama,,Play,History play,sparknotes
William Shakespeare,King John,1623,Early Modern (1600–1800),Tragedy / Drama,,Play,History play,sparknotes
William Shakespeare,Cymbeline,1623,Early Modern (1600–1800),Comedy / Satire,Tragedy / Drama,Play,Late romance; tragicomic,sparknotes
William Shakespeare,Macbeth,1623,Early Modern (1600–1800),Tragedy / Drama,,Play,,sparknotes
William Shakespeare,Antony and Cleopatra,1623,Early Modern (1600–1800),Tragedy / Drama,Romance / Domestic Fiction,Play,,sparknotes
William Shakespeare,Hamlet,1623,Early Modern (1600–1800),Tragedy / Drama,,Play,,sparknotes
William Shakespeare,The Comedy of Errors,1623,Early Modern (1600–1800),Comedy / Satire,,Play,,sparknotes
William Shakespeare,Timon of Athens,1623,Early Modern (1600–1800),Tragedy / Drama,Comedy / Satire,Play,Problem play,sparknotes
Christopher Marlowe,The Jew of Malta,1633,Early Modern (1600–1800),Tragedy / Drama,Comedy / Satire,Play,,sparknotes
Moliere,Tartuffe,1664,Early Modern (1600–1800),Comedy / Satire,,Play,,sparknotes
Moliere,The Misanthrope,1666,Early Modern (1600–1800),Comedy / Satire,Tragedy / Drama,Play,,sparknotes
Eugene ONeill,Mourning Becomes Electra,1931,Early 20th Century (1900–1950),Tragedy / Drama,,Play,,sparknotes
Henrik Ibsen,A Dolls House,1879,19th Century,Tragedy / Drama,Comedy / Satire,Play,,sparknotes
Henrik Ibsen,Ghosts,1881,19th Century,Tragedy / Drama,,Play,,sparknotes
Henrik Ibsen,An Enemy of the People,1882,19th Century,Tragedy / Drama,,Play,,sparknotes
Henrik Ibsen,The Wild Duck,1884,19th Century,Tragedy / Drama,Comedy / Satire,Play,Tragicomedy,sparknotes
August Strindberg,Miss Julie,1888,19th Century,Tragedy / Drama,,Play,,sparknotes
Henrik Ibsen,Hedda Gabler,1890,19th Century,Tragedy / Drama,,Play,,sparknotes
Oscar Wilde,Salome,1893,19th Century,Tragedy / Drama,,Play,,sparknotes
George Bernard Shaw,Arms and the Man,1894,19th Century,Comedy / Satire,,Play,,sparknotes
Oscar Wilde,An Ideal Husband,1895,19th Century,Comedy / Satire,,Play,,sparknotes
Oscar Wilde,The Importance of Being Earnest,1895,19th Century,Comedy / Satire,,Play,,sparknotes
Anton Chekhov,The Seagull,1896,19th Century,Tragedy / Drama,Comedy / Satire,Play,Tragicomedy,sparknotes
Edmond Rostand,Cyrano de Bergerac,1897,19th Century,Comedy / Satire,Tragedy / Drama,Play,,sparknotes
Anton Chekhov,Uncle Vanya,1898,19th Century,Tragedy / Drama,Comedy / Satire,Play,Tragicomedy,sparknotes
Anton Chekhov,The Cherry Orchard,1904,Early 20th Century (1900–1950),Comedy / Satire,Tragedy / Drama,Play,"Chekhov's tragicomedy, labeled comedy",sparknotes
George Bernard Shaw,Major Barbara,1907,Early 20th Century (1900–1950),Comedy / Satire,,Play,,sparknotes
John Millington Synge,The Playboy of the Western World,1907,Early 20th Century (1900–1950),Comedy / Satire,,Play,,sparknotes
Eugene ONeill,The Iceman Cometh,1946,Early 20th Century (1900–1950),Tragedy / Drama,,Play,,sparknotes
George Bernard Shaw,Pygmalion,1913,Early 20th Century (1900–1950),Comedy / Satire,,Play,,sparknotes
Luigi Pirandello,Six Characters in Search of an Author,1921,Early 20th Century (1900–1950),Tragedy / Drama,,Play,Absurdist/Metatheatrical,sparknotes
Eugene ONeill,The Hairy Ape,1922,Early 20th Century (1900–1950),Tragedy / Drama,,Play,,sparknotes
Bertolt Brecht,The Threepenny Opera,1928,Early 20th Century (1900–1950),Tragedy / Drama,Comedy / Satire,Play,,sparknotes
Thornton Wilder,Our Town,1938,Early 20th Century (1900–1950),Tragedy / Drama,,Play,,sparknotes
Bertolt Brecht,Mother Courage and Her Children,1939,Early 20th Century (1900–1950),Tragedy / Drama,,Play,,sparknotes
Tennessee Williams,Cat on a Hot Tin Roof,1955,Late 20th Century (1950–2000),Tragedy / Drama,,Play,,sparknotes
Jean Paul Sartre,The Flies,1943,Early 20th Century (1900–1950),Tragedy / Drama,,Play,,sparknotes
Jean Anouilh,Antigone,1944,Early 20th Century (1900–1950),Tragedy / Drama,,Play,,sparknotes
Jean Paul Sartre,No Exit,1944,Early 20th Century (1900–1950),Tragedy / Drama,,Play,,sparknotes
Tennessee Williams,The Glass Menagerie,1944,Early 20th Century (1900–1950),Tragedy / Drama,,Play,,sparknotes
J B Priestley,An Inspector Calls,1945,Early 20th Century (1900–1950),Tragedy / Drama,,Play,,sparknotes
Jean Genet,The Maids,1947,Early 20th Century (1900–1950),Tragedy / Drama,,Play,,sparknotes
Arthur Miller,All My Sons,1947,Early 20th Century (1900–1950),Tragedy / Drama,,Play,,sparknotes
Arthur Miller,Death of a Salesman,1949,Early 20th Century (1900–1950),Tragedy / Drama,,Play,,sparknotes
Samuel Beckett,Waiting for Godot,1952,Late 20th Century (1950–2000),Tragedy / Drama,,Play,Tragicomedy / Absurdist,sparknotes
Eugne Ionesco,The Chairs,1952,Late 20th Century (1950–2000),Tragedy / Drama,,Play,Absurdist,sparknotes
Arthur Miller,The Crucible,1953,Late 20th Century (1950–2000),Tragedy / Drama,,Play,,sparknotes
Reginald Rose,Twelve Angry Men,1954,Late 20th Century (1950–2000),Tragedy / Drama,,Play,,sparknotes
Jerome Lawrence and Robert E Lee,Inherit the Wind,1955,Late 20th Century (1950–2000),Tragedy / Drama,,Play,,sparknotes
Arthur Miller,A View from the Bridge,1955,Late 20th Century (1950–2000),Tragedy / Drama,,Play,,sparknotes
Eugene ONeill,Long Days Journey into Night,1956,Late 20th Century (1950–2000),Tragedy / Drama,,Play,,sparknotes
Samuel Beckett,Endgame,1957,Late 20th Century (1950–2000),Tragedy / Drama,,Play,Absurdist tragicomedy,sparknotes
Lorraine Hansberry,A Raisin in the Sun,1959,Late 20th Century (1950–2000),Tragedy / Drama,,Play,,sparknotes
Eugne Ionesco,Rhinoceros,1959,Late 20th Century (1950–2000),Tragedy / Drama,Comedy / Satire,Play,Absurdist,sparknotes
Robert Bolt,A Man for All Seasons,1960,Late 20th Century (1950–2000),Tragedy / Drama,,Play,,sparknotes
Harold Pinter,The Dumb Waiter,1960,Late 20th Century (1950–2000),Comedy / Satire,Mystery / Thriller,Play,Pinter absurdist,sparknotes
Edward Albee,The American Dream,1961,Late 20th Century (1950–2000),Comedy / Satire,,Play,,sparknotes
Samuel Beckett,Happy Days,1961,Late 20th Century (1950–2000),Tragedy / Drama,,Play,Absurdist,sparknotes
Edward Albee,Whos Afraid of Virginia Woolf,1962,Late 20th Century (1950–2000),Tragedy / Drama,,Play,,sparknotes
Tom Stoppard,Rosencrantz and Guildenstern Are Dead,1966,Late 20th Century (1950–2000),Tragedy / Drama,Comedy / Satire,Play,Absurdist comedy/tragedy,sparknotes
Caryl Churchill,Cloud 9,1979,Late 20th Century (1950–2000),Comedy / Satire,Tragedy / Drama,Play,,sparknotes
Sam Shepard,True West,1980,Late 20th Century (1950–2000),Tragedy / Drama,Comedy / Satire,Play,,sparknotes
Neil Simon,Brighton Beach Memoirs,1982,Late 20th Century (1950–2000),Coming-of-Age / Bildungsroman,Comedy / Satire,Play,,sparknotes
David Mamet,Glengarry Glen Ross,1983,Late 20th Century (1950–2000),Tragedy / Drama,,Play,,sparknotes
Sam Shepard,Fool For Love,1983,Late 20th Century (1950–2000),Tragedy / Drama,Romance / Domestic Fiction,Play,,sparknotes
August Wilson,Fences,1985,Late 20th Century (1950–2000),Tragedy / Drama,,Play,,sparknotes
August Wilson,The Piano Lesson,1987,Late 20th Century (1950–2000),Tragedy / Drama,,Play,,sparknotes
David Henry Hwang,M Butterfly,1988,Late 20th Century (1950–2000),Tragedy / Drama,,Play,,sparknotes
Tony Kushner,Angels in America,1991,Late 20th Century (1950–2000),Tragedy / Drama,,Play,,sparknotes
Tom Stoppard,Arcadia,1993,Late 20th Century (1950–2000),Comedy / Satire,Literary / Realist Fiction,Play,,sparknotes
Tennessee Williams,A Streetcar Named Desire,1947,Early 20th Century (1900–1950),Tragedy / Drama,,Play,,sparknotes
Euripides,The Bacchae,405 BC,Pre-Modern (pre-1600),Tragedy / Drama,,Play,,sparknotes
Sophocles,The Oedipus Plays,406 BC,Pre-Modern (pre-1600),Tragedy / Drama,,Play,,sparknotes
Sophocles,Electra,410 BC,Pre-Modern (pre-1600),Tragedy / Drama,,Play,,sparknotes
Aristophanes,Lysistrata,411 BC,Pre-Modern (pre-1600),Comedy / Satire,,Play,,sparknotes
Aristophanes,The Clouds,423 BC,Pre-Modern (pre-1600),Comedy / Satire,,Play,,sparknotes
Euripides,Medea,431 BC,Pre-Modern (pre-1600),Tragedy / Drama,,Play,,sparknotes
Aeschylus,Prometheus Bound,456 BC,Pre-Modern (pre-1600),Tragedy / Drama,,Play,,sparknotes
Aeschylus,The Libation Bearers,458 BC,Pre-Modern (pre-1600),Tragedy / Drama,,Play,,sparknotes
Aeschylus,Agamemnon,458 BC,Pre-Modern (pre-1600),Tragedy / Drama,,Play,,sparknotes
Kazuo Ishiguro,“A Family Supper”,1983,Late 20th Century (1950–2000),,,Novel,source=litcharts,litcharts
Flannery O’connor,A Good Man is Hard to Find,1955,Late 20th Century (1950–2000),Literary / Realist Fiction,,Novel,source=litcharts,litcharts
V. S. Naipaul,A House for Mr Biswas,1961,Late 20th Century (1950–2000),Literary / Realist Fiction,,Novel,source=litcharts,litcharts
Gail Tsukiyama,A Hundred Flowers,2012,21st Century (2000+),Literary / Realist Fiction,,Novel,source=litcharts,litcharts
Shelagh Delaney,A Taste of Honey,1958,Late 20th Century (1950–2000),,,Play,source=litcharts,litcharts
Yiyun Li,A Thousand Years of Good Prayers,2005,21st Century (2000+),Literary / Realist Fiction,,Novel,source=litcharts,litcharts
Gabriel García,A Very Old Man With Enormous Wings: A Tale for,1955,Late 20th Century (1950–2000),Fantasy / Adventure,,Novel,source=litcharts,litcharts
M. R. James,A Warning to the Curious,1925,Early 20th Century (1900–1950),Mystery / Thriller,,Other,source=litcharts,litcharts
Dario Fo,Accidental Death of an Anarchist (Morte,1970,Late 20th Century (1950–2000),,,Play,source=litcharts,litcharts
Christine Piper,After Darkness,2014,21st Century (2000+),Literary / Realist Fiction,,Novel,source=litcharts,litcharts
J. M. Coetzee Apartheid,Age of Iron,1990,Late 20th Century (1950–2000),Literary / Realist Fiction,,Novel,source=litcharts,litcharts
Carlos Bulosan,America,1946,Early 20th Century (1900–1950),Coming-of-Age / Bildungsroman,,Novel,source=litcharts,litcharts
Bret Easton Ellis,American Psycho,1991,Late 20th Century (1950–2000),Literary / Realist Fiction,,Novel,source=litcharts,litcharts
Kazuo Ishiguro,An Artist of the Floating World,1986,Late 20th Century (1950–2000),Literary / Realist Fiction,,Novel,source=litcharts,litcharts
Shelagh Stephenson,An Experiment With An Air Pump,1998,Late 20th Century (1950–2000),,,Play,source=litcharts,litcharts
Henry Handel,‘And Women Must Weep’,1931,Early 20th Century (1900–1950),,,Novel,source=litcharts,litcharts
Sophocles,Antigone,-442,Pre-Modern (pre-1600),,,Play,source=litcharts,litcharts
James Joyce,Araby,1914,Early 20th Century (1900–1950),Coming-of-Age / Bildungsroman,,Novel,source=litcharts,litcharts
Benjamin Alire Sáenz Universe,Aristotle,2012,21st Century (2000+),,,Novel,source=litcharts,litcharts
Tracy Letts,August: Osage County,2002,21st Century (2000+),,,Play,source=litcharts,litcharts
V. S. Naipaul,B. Wordsworth,1959,Late 20th Century (1950–2000),Literary / Realist Fiction,,Other,source=litcharts,litcharts
Tessa Hadley,Bad Dreams,2013,21st Century (2000+),Literary / Realist Fiction,,Other,source=litcharts,litcharts
Herman Melville,Bartleby,1853,19th Century,,,Play,source=litcharts,litcharts
Tom Wright,Black Diggers fate—murder,2014,21st Century (2000+),,,Play,source=litcharts,litcharts
Katherine Mansfield,Bliss,1918,Early 20th Century (1900–1950),Literary / Realist Fiction,,Novel,source=litcharts,litcharts
Cormac Mccarthy,Blood Meridian,1985,Late 20th Century (1950–2000),Literary / Realist Fiction,,Other,source=litcharts,litcharts
Trent Dalton,Boy Swallows Universe,2018,21st Century (2000+),,,Novel,source=litcharts,litcharts
Graham Greene,Brighton Rock,1938,Early 20th Century (1900–1950),,,Other,source=litcharts,litcharts
Annie Proulx,Brokeback Mountain,1997,Late 20th Century (1950–2000),Romance / Domestic Fiction,,Other,source=litcharts,litcharts
David Mitchell,Cloud Atlas,2004,21st Century (2000+),Science Fiction / Dystopia,,Novel,source=litcharts,litcharts
Elizabeth Wein,Code Name Verity,2012,21st Century (2000+),,,Novel,source=litcharts,litcharts
Holly Goldberg Sloan,Counting by 7s,2013,21st Century (2000+),Coming-of-Age / Bildungsroman,,Novel,source=litcharts,litcharts
Kevin Kwan,Crazy Rich Asians,2013,21st Century (2000+),,,Novel,source=litcharts,litcharts
Wole Soyinka,Death and the King's Horseman,1975,Late 20th Century (1950–2000),,,Play,source=litcharts,litcharts
Ariel Dorfman,Death,1990,Late 20th Century (1950–2000),,,Play,source=litcharts,litcharts
Christopher Marlowe,The Tragical History,1604,Early Modern (1600–1800),,,Play,source=litcharts,litcharts
Nathanel Hawthorne,Dr. Heidegger’s Experiment,1837,19th Century,,,Novel,source=litcharts,litcharts
Frank Herbert,Dune Messiah,1969,Late 20th Century (1950–2000),,,Novel,source=litcharts,litcharts
